# MEAN_SAMPLE_SIZE = 89015
# TOTAL_GENES = 18412
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.47808    -0.011139      0.54257      0.81087 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12     -0.23087   -0.0058921      0.41522       0.7109 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      58     -0.14539   -0.0081477      0.21269      0.75288 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21     -0.43755    -0.014769      0.37802      0.87645 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41       0.1984    0.0093524      0.25773      0.22071 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      16      0.53089     0.015644      0.43822      0.11287 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     157     0.079439    0.0073044      0.12324       0.2596 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      42    -0.015374  -0.00073347       0.2354      0.52604 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      43      0.17675    0.0085319      0.24698      0.23711 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      36    -0.013229   -0.0005844      0.27934      0.51889 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      62     -0.19192    -0.011118       0.1969      0.83514 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.36664     0.010804      0.47631      0.22073 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.10268    0.0056037      0.21001      0.31245 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      29      0.19393    0.0076907      0.27925       0.2437 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34      0.19011     0.008162      0.25518      0.22814 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      54      0.11219    0.0060669      0.24378      0.32269 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      15     -0.40384    -0.011522      0.43455      0.82364 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     203    -0.033447   -0.0034926      0.10562      0.62425 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62     -0.19385     -0.01123      0.21755      0.81355 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      60     -0.33007    -0.018812       0.2006      0.95005 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     171     -0.17659     -0.01694       0.1161      0.93587 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      71    -0.024003   -0.0014877      0.17263      0.55529 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33     -0.36651    -0.015503       0.2517      0.92732 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      31     -0.47474    -0.019464      0.28257      0.95352 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      48    -0.071924   -0.0036677      0.21337      0.63197 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      37    -0.053984   -0.0024176       0.2426      0.58805 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
