# MEAN_SAMPLE_SIZE = 83724
# TOTAL_GENES = 18514
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
AMIT_EGF_RESPONSE_20_HELA                SET      10     -0.28086   -0.0065258      0.38238      0.76868 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12    -0.026027  -0.00066243       0.2829      0.53665 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59     -0.18576     -0.01047      0.14205       0.9045 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21   -0.0066526  -0.00022393      0.25896      0.51025 AMIT_EGF_RESPONSE_240_MCF10A
AMIT_EGF_RESPONSE_40_HELA                SET      41      0.14184    0.0066677      0.16859      0.20009 AMIT_EGF_RESPONSE_40_HELA
AMIT_EGF_RESPONSE_40_MCF10A              SET      16      0.28545    0.0083881      0.30194      0.17224 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161    -0.038455   -0.0035706     0.083297      0.67784 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43      0.11424    0.0054991      0.15842      0.23544 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      43      0.10563    0.0050851      0.18299      0.28188 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      36    -0.083752   -0.0036897      0.18749      0.67246 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      62     -0.23306    -0.013465        0.136       0.9567 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16      0.16196    0.0047594      0.32324      0.30816 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55      0.26626     0.014491      0.14944     0.037405 AMIT_SERUM_RESPONSE_240_MCF10A
