run_id	ancestry	model	direction_class	source	source_label	n_returned_terms	n_significant_terms	min_adjusted_p
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	HP	Human phenotype	118	0	0.19928258270226537
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	HPA	Human Protein Atlas	330	15	0.0023070785733027067
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	CORUM	CORUM	4	0	0.0998486229324061
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	TF	Transcription factor target	5070	2	0.03372640704663696
EAS_MDD_3TRAIT_all	EAS	EAS_MDD_EA_CF	all_mapped_genes	MIRNA	miRNA target	913	0	1.0
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	GO:BP	GO biological process	2336	4	3.866494611619882e-05
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	GO:MF	GO molecular function	514	3	0.005128853289953606
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	GO:CC	GO cellular component	356	0	0.49530112565483325
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	REAC	Reactome	499	1	0.024452579434129207
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	KEGG	KEGG pathway	166	1	0.014995181888250941
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	WP	WikiPathways	194	0	0.09020167437761875
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	HP	Human phenotype	2101	0	0.3273420241703185
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	HPA	Human Protein Atlas	590	2	0.021907433546529215
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	CORUM	CORUM	47	0	1.0
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	TF	Transcription factor target	6966	0	0.10470633180975479
EAS_SCZ_3TRAIT_all	EAS	EAS_SCZ_EA_CF	all_mapped_genes	MIRNA	miRNA target	2178	0	0.17527401862805816
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	GO:BP	GO biological process	6473	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	GO:MF	GO molecular function	1532	0	1.0
EUR_FOURTRAIT_concordant	EUR	FOURTRAIT	concordant	GO:CC	GO cellular component	938	0	1.0
