# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      41      0.10288     0.004925      0.21802       0.3185 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      53      0.16129    0.0087754       0.2057       0.2165 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      62    -0.069661   -0.0040983      0.15236      0.67624 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      36     0.018488   0.00082941      0.21603       0.4659 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      45    -0.099329   -0.0049808      0.19381      0.69585 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      25     -0.12688   -0.0047448      0.28588      0.67141 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     591     0.027638    0.0049448     0.053055      0.30122 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     909      0.02434    0.0053509     0.048685      0.30856 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     340    -0.049081   -0.0067088     0.068143      0.76431 BENPORATH_ES_1
BENPORATH_ES_2                           SET      32     -0.24298    -0.010278      0.20808      0.87854 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.08703     0.001842      0.40604      0.41514 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      91     0.012462   0.00088746      0.13262      0.46257 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET     988     0.022091    0.0050513     0.046868       0.3187 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     688      0.11835     0.022781     0.047317    0.0061948 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     203     0.038727    0.0041062     0.088677      0.33116 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     897     0.051403     0.011229      0.04507      0.12705 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     168     0.064741     0.006251      0.10119      0.26115 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     266     0.064284    0.0077884     0.081429      0.21493 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     566     0.042005      0.00736     0.062516      0.25083 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     141      0.15234     0.013486      0.10008      0.06399 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     674      0.12116     0.023094     0.051927     0.009824 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     868     0.063706     0.013702     0.050041       0.1015 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      45      0.13875    0.0069574      0.20763      0.25199 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      27     -0.23369   -0.0090816      0.25285      0.82231 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     362     -0.12538    -0.017673     0.069479      0.96443 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28     0.077468    0.0030657      0.25423      0.38029 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      19     -0.23882   -0.0077871      0.32812      0.76663 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      27       0.4445     0.017274      0.28562     0.059835 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8      0.37442    0.0079245      0.49305      0.22381 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     507     0.037204    0.0061803     0.055693      0.25206 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4      0.24024    0.0035958      0.73293      0.37154 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      55      0.15301      0.00848      0.18818      0.20809 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      34      0.22371    0.0097538      0.21107       0.1446 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     -0.36937    -0.018107      0.20866      0.96164 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
BERTUCCI_INVASIVE_CARCINOMA_...2         SET      22      0.86388     0.030309      0.29304    0.0016016 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP
BERTUCCI_MEDULLARY_VS_DUCTAL...1         SET     158     -0.11986    -0.011226      0.10855      0.86522 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN
BERTUCCI_MEDULLARY_VS_DUCTAL...2         SET     176      0.18049     0.017833     0.098273     0.033141 BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP
BHATI_G2M_ARREST_BY_2METHOXY...1         SET     112     -0.09457   -0.0074673      0.11899      0.78661 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN
BHATI_G2M_ARREST_BY_2METHOXY...2         SET     108    -0.069436   -0.0053845      0.11868      0.72074 BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP
BHATTACHARYA_EMBRYONIC_STEM_...          SET      75    -0.060418    -0.003908      0.13685      0.67057 BHATTACHARYA_EMBRYONIC_STEM_CELL
BHAT_ESR1_TARGETS_NOT_VIA_AK...1         SET      86      0.30282     0.020968      0.15152     0.022838 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN
BHAT_ESR1_TARGETS_NOT_VIA_AK...2         SET     194      0.15058     0.015612     0.095853     0.058108 BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP
BHAT_ESR1_TARGETS_VIA_AKT1_DN            SET      82      0.36728     0.024836      0.15017    0.0072323 BHAT_ESR1_TARGETS_VIA_AKT1_DN
BHAT_ESR1_TARGETS_VIA_AKT1_UP            SET     261      0.13859     0.016635     0.079887     0.041395 BHAT_ESR1_TARGETS_VIA_AKT1_UP
