ancestry	run_label_raw	run_relative_path	run_key	canonical_label_auto	canonical_label_status_auto	canonical_label_final	canonical_label_status_final	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	17002	0.051033	0.087811	0.0099267	1.3833e-07	Brain_Caudate_basal_ganglia	COVAR	True	1.3833e-07	54	0.000925925925925926	8.2998e-07	True	True	9.0	0.051033	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	17002	0.059153	0.11838	0.0076676	6.4361e-15	Brain_Cerebellar_Hemisphere	COVAR	True	6.4361e-15	54	0.000925925925925926	2.72952e-13	True	True	1.0	0.059153	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	17002	0.060106	0.11897	0.0079044	1.5164e-14	Brain_Cerebellum	COVAR	True	1.5164e-14	54	0.000925925925925926	2.72952e-13	True	True	3.0	0.060106	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	17002	0.06333	0.11505	0.0089993	1.022e-12	Brain_Cortex	COVAR	True	1.022e-12	54	0.000925925925925926	1.3797000000000002e-11	True	True	4.0	0.06333	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	17002	0.06625	0.12159	0.0086692	1.1318e-14	Brain_Frontal_Cortex_BA9	COVAR	True	1.1318e-14	54	0.000925925925925926	2.72952e-13	True	True	2.0	0.06625	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	17002	0.048759	0.082252	0.010067	6.4474e-07	Brain_Hippocampus	COVAR	True	6.4474e-07	54	0.000925925925925926	3.4815959999999997e-06	True	True	10.0	0.048759	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	17002	0.058083	0.09954	0.010222	6.7639e-09	Brain_Hypothalamus	COVAR	True	6.7639e-09	54	0.000925925925925926	5.2178657142857136e-08	True	True	7.0	0.058083	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	17002	0.054724	0.09458	0.0095953	5.9854e-09	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	5.9854e-09	54	0.000925925925925926	5.2178657142857136e-08	True	True	6.0	0.054724	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	17002	0.04502	0.076342	0.010018	3.5224e-06	Brain_Putamen_basal_ganglia	COVAR	True	3.5224e-06	54	0.000925925925925926	1.729178181818182e-05	True	True	11.0	0.04502	True	True	True
EUR	MDD	MDD	EUR/MDD	MDD	inferred_exact	MDD	strict_path_allowlist	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/MDD/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	17002	0.040414	0.069324	0.010824	9.4617e-05	Brain_Substantia_nigra	COVAR	True	9.4617e-05	54	0.000925925925925926	0.0003930244615384616	True	True	13.0	0.040414	True	True	True
