# MEAN_SAMPLE_SIZE = 88076
# TOTAL_GENES = 18375
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
AUNG_GASTRIC_CANCER                      SET      48     -0.02774    -0.001416      0.22034      0.55009 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      17      0.17297    0.0052587      0.35527      0.31319 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     115     -0.20577    -0.016228      0.15185       0.9123 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     -0.23422   -0.0082818      0.34895      0.74896 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      44      0.37531     0.018344      0.23918     0.058318 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.17727    0.0062681      0.32804      0.29446 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     405     0.085191     0.012508     0.080128      0.14385 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      80     -0.15937    -0.010493      0.18271      0.80846 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29      0.16364     0.006496      0.30351      0.29489 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64     -0.27982    -0.016486      0.20017      0.91892 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.57214    0.0073101      0.86944      0.25526 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     0.048574    0.0011329      0.52115      0.46287 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.70187     0.013697      0.68611      0.15317 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14    -0.025105  -0.00069272      0.43699      0.52291 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     160    -0.051456   -0.0047807      0.12726      0.65701 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51      0.13774    0.0072466      0.20984      0.25579 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      36     0.019681   0.00087029      0.28998      0.47295 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      -0.3608   -0.0095935      0.39172      0.82148 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32      0.36783     0.015337      0.25504     0.074623 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.96083     0.020044      0.58096     0.049087 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     143      0.17797     0.015639      0.12465     0.076688 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18     -0.30616   -0.0095778      0.38044      0.78951 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.21943    0.0048553      0.57517      0.35142 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.41352     0.010564      0.43484      0.17082 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      28      0.34663     0.013521      0.30002      0.12398 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18      -0.1536   -0.0048053      0.36377      0.66358 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.46677     -0.01288      0.39097      0.88373 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     -0.49832    -0.015589      0.37094      0.91042 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54    -0.046212   -0.0025016      0.20824      0.58781 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23      0.25447    0.0089977       0.3053      0.20228 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      26      0.14843    0.0055797      0.29254      0.30594 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31    -0.065845   -0.0027023      0.30715      0.58487 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     0.079832    0.0018619      0.50955      0.43775 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      14      0.23406    0.0064584      0.39965      0.27906 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.23559   -0.0067287      0.46074      0.69544 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.10127   -0.0046607      0.23166      0.66899 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     357     0.040839    0.0056369     0.084053      0.31353 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     270     0.068042    0.0081873     0.093258      0.23282 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     135      0.11336    0.0096815      0.12744      0.18686 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      68      0.17006     0.010327      0.19556      0.19226 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      96     0.038548    0.0027791      0.16592      0.40815 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      0.41099    0.0067789      0.77497      0.29794 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      75      0.08061    0.0051396      0.17717      0.32456 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     0.075049    0.0018357      0.45356      0.43429 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      29    -0.020301  -0.00080589      0.27697      0.52922 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     -0.32314    -0.016834      0.20781      0.94001 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      50      0.11512    0.0059971      0.21493      0.29611 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      -0.3012   -0.0058778      0.68684      0.66949 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
