# MEAN_SAMPLE_SIZE = 55413
# TOTAL_GENES = 18952
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53     0.024742    0.0013066      0.17991      0.44531 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7     -0.85811    -0.016489      0.56288       0.9363 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45      0.06168     0.003002      0.19341       0.3749 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54    -0.020859   -0.0011119      0.18809      0.54415 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64      0.10988    0.0063745      0.15271      0.23591 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37    0.0067384   0.00029745      0.20731      0.48704 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      0.20217     0.010055      0.17382      0.12241 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      27    -0.071712   -0.0027049      0.24089      0.61703 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     619     0.031603    0.0056175     0.047641      0.25356 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     947     0.056837     0.012384     0.045353      0.10507 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     352     0.044395     0.005994     0.064902      0.24698 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36    -0.088728   -0.0038635      0.19274      0.67736 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8     0.079663    0.0016364       0.4576       0.4309 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96      0.17713     0.012575      0.13023     0.086896 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1031     0.079578     0.018049      0.04396     0.035138 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     727     0.066499     0.012772     0.042857     0.060381 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     210     0.053152     0.005564     0.084681      0.26512 BENPORATH_MYC_TARGETS_WITH_EBOX
