ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOCC_NEURON_TO_NEURON_SYNAPSE	SET	360	0.35258	0.048132	0.067895	1.046e-07	GOCC_NEURON_TO_NEURON_SYNAPSE	SET	True	1.046e-07	17009	2.9396202010700218e-06	0.00013449259285714285	True	True	13.0	0.35258	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOCC_POSTSYNAPSE	SET	622	0.26819	0.047782	0.051749	1.107e-07	GOCC_POSTSYNAPSE	SET	True	1.107e-07	17009	2.9396202010700218e-06	0.00013449259285714285	True	True	14.0	0.26819	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOCC_POSTSYNAPTIC_SPECIALIZA...1	SET	342	0.33453	0.044533	0.06961	7.7693e-07	GOCC_POSTSYNAPTIC_SPECIALIZATION	SET	True	7.7693e-07	17009	2.9396202010700218e-06	0.000580761212173913	True	True	22.0	0.33453	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	GOCC_SYNAPSE	SET	1371	0.16827	0.043593	0.03503	7.8532e-07	GOCC_SYNAPSE	SET	True	7.8532e-07	17009	2.9396202010700218e-06	0.000580761212173913	True	True	23.0	0.16827	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	REACTOME_SYNTHESIS_OF_12_EIC...	SET	7	2.0411	0.039221	0.40834	2.9143e-07	REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	SET	True	2.9143e-07	17009	2.9396202010700218e-06	0.00026641465263157896	True	True	18.0	2.0411	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	REACTOME_SYNTHESIS_OF_15_EIC...	SET	6	2.1188	0.037695	0.42836	3.8163e-07	REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	SET	True	3.8163e-07	17009	2.9396202010700218e-06	0.0003245572335	True	True	20.0	2.1188	True	True	True
EUR	EDU	EDU	EUR/EDU	EA	inferred_exact	EA	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/EDU/magma.gsa.out	REACTOME_SYNTHESIS_OF_5_EICO...	SET	9	1.8059	0.039346	0.39043	1.8819e-06	REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS	SET	True	1.8819e-06	17009	2.9396202010700218e-06	0.0011855273	True	True	27.0	1.8059	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_CELL_JUNCTION_ORGANIZAT...	SET	684	0.1972	0.036904	0.042309	1.5849e-06	GOBP_CELL_JUNCTION_ORGANIZATION	SET	True	1.5849e-06	17008	2.9397930385700847e-06	0.0017495917	True	True	15.0	0.1972	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_CELL_MORPHOGENESIS	SET	872	0.18871	0.039665	0.037762	2.9357e-07	GOBP_CELL_MORPHOGENESIS	SET	True	2.9357e-07	17008	2.9397930385700847e-06	0.0004640091636363636	True	True	10.0	0.18871	True	True	True
EUR	G	G	EUR/G	CF	inferred_exact	CF	strict_path_allowlist	competitive_gene_set	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/G/magma.gsa.out	GOBP_CELL_PART_MORPHOGENESIS	SET	614	0.22095	0.03925	0.045024	4.6567e-07	GOBP_CELL_PART_MORPHOGENESIS	SET	True	4.6567e-07	17008	2.9397930385700847e-06	0.0006600096133333334	True	True	12.0	0.22095	True	True	True
