ancestry	source_run_label	run_relative_path	run_key	inferred_label	inferred_label_status	analysis_label	analysis_label_status	result_type	source_file	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	expected_magma_type	included_in_correction	p_numeric	n_tests_in_file	bonferroni_threshold	p_bh	significant_bonferroni	significant_fdr	p_rank_within_file	beta_numeric	positive_beta	significant_bonferroni_positive	significant_fdr_positive
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	16907	0.14954	0.27415	0.012615	1.4154e-32	Brain_Frontal_Cortex_BA9	COVAR	True	1.4154e-32	54	0.000925925925925926	2.54772e-31	True	True	3.0	0.14954	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	16907	0.13216	0.22265	0.014695	1.3387e-19	Brain_Hippocampus	COVAR	True	1.3387e-19	54	0.000925925925925926	9.036225e-19	True	True	8.0	0.13216	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	16907	0.13502	0.23111	0.014855	5.5937e-20	Brain_Hypothalamus	COVAR	True	5.593700000000001e-20	54	0.000925925925925926	4.3151400000000008e-19	True	True	7.0	0.13502	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	16907	0.12992	0.22428	0.013945	6.7817e-21	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	6.7817e-21	54	0.000925925925925926	6.10353e-20	True	True	6.0	0.12992	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	16907	0.12067	0.20439	0.014578	6.7957e-17	Brain_Putamen_basal_ganglia	COVAR	True	6.7957e-17	54	0.000925925925925926	3.336070909090909e-16	True	True	11.0	0.12067	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	16907	0.087245	0.15611	0.015804	1.7174e-08	Brain_Spinal_cord_cervical_c-1	COVAR	True	1.7174e-08	54	0.000925925925925926	6.624257142857142e-08	True	True	14.0	0.087245	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	16907	0.094494	0.16193	0.015756	1.0249e-09	Brain_Substantia_nigra	COVAR	True	1.0249e-09	54	0.000925925925925926	4.257276923076923e-09	True	True	13.0	0.094494	True	True	True
EUR	FUMA_PLEIO_MDD_EA_CF	EUR/FUMA_PLEIO_MDD_EA_CF	EUR/MDD_3TRAIT	MDD_3TRAIT	explicit_manifest	MDD_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_MDD_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	16907	0.10078	0.18667	0.016357	3.6987e-10	Pituitary	COVAR	True	3.6987e-10	54	0.000925925925925926	1.664415e-09	True	True	12.0	0.10078	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Amygdala	COVAR	16907	0.11976	0.20302	0.014548	9.8997e-17	Brain_Amygdala	COVAR	True	9.8997e-17	54	0.000925925925925926	5.345838e-16	True	True	10.0	0.11976	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Anterior_cingulate_cor...	COVAR	16907	0.13113	0.2305	0.013385	6.7437e-23	Brain_Anterior_cingulate_cortex_BA24	COVAR	True	6.7437e-23	54	0.000925925925925926	7.283196e-22	True	True	5.0	0.13113	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Caudate_basal_ganglia	COVAR	16907	0.12223	0.21005	0.014578	2.757e-17	Brain_Caudate_basal_ganglia	COVAR	True	2.757e-17	54	0.000925925925925926	1.6542e-16	True	True	9.0	0.12223	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellar_Hemisphere	COVAR	16907	0.13341	0.26676	0.011167	4.7226e-33	Brain_Cerebellar_Hemisphere	COVAR	True	4.7226e-33	54	0.000925925925925926	2.5502039999999998e-31	True	True	1.0	0.13341	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cerebellum	COVAR	16907	0.13469	0.26635	0.011513	8.7636e-32	Brain_Cerebellum	COVAR	True	8.7636e-32	54	0.000925925925925926	2.366172e-30	True	True	2.0	0.13469	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Cortex	COVAR	16907	0.1429	0.2593	0.013214	1.8395e-27	Brain_Cortex	COVAR	True	1.8395e-27	54	0.000925925925925926	2.4833249999999998e-26	True	True	4.0	0.1429	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Frontal_Cortex_BA9	COVAR	16907	0.14216	0.26062	0.012728	3.7394e-29	Brain_Frontal_Cortex_BA9	COVAR	True	3.7394e-29	54	0.000925925925925926	6.73092e-28	True	True	3.0	0.14216	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hippocampus	COVAR	16907	0.12827	0.2161	0.014822	2.7363e-18	Brain_Hippocampus	COVAR	True	2.7363e-18	54	0.000925925925925926	2.11086e-17	True	True	7.0	0.12827	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Hypothalamus	COVAR	16907	0.12786	0.21886	0.014985	7.8301e-18	Brain_Hypothalamus	COVAR	True	7.8301e-18	54	0.000925925925925926	5.2853175e-17	True	True	8.0	0.12786	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Nucleus_accumbens_basa...	COVAR	16907	0.1272	0.21958	0.014065	8.4686e-20	Brain_Nucleus_accumbens_basal_ganglia	COVAR	True	8.4686e-20	54	0.000925925925925926	7.621740000000001e-19	True	True	6.0	0.1272	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Putamen_basal_ganglia	COVAR	16907	0.11269	0.19086	0.014706	9.6606e-15	Brain_Putamen_basal_ganglia	COVAR	True	9.6606e-15	54	0.000925925925925926	4.742476363636363e-14	True	True	11.0	0.11269	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Spinal_cord_cervical_c...	COVAR	16907	0.084971	0.15204	0.015938	4.9456e-08	Brain_Spinal_cord_cervical_c-1	COVAR	True	4.9456e-08	54	0.000925925925925926	1.9075885714285714e-07	True	True	14.0	0.084971	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Brain_Substantia_nigra	COVAR	16907	0.085749	0.14694	0.015892	3.4661e-08	Brain_Substantia_nigra	COVAR	True	3.4661e-08	54	0.000925925925925926	1.4397646153846154e-07	True	True	13.0	0.085749	True	True	True
EUR	FUMA_PLEIO_SCZ_EA_CF	EUR/FUMA_PLEIO_SCZ_EA_CF	EUR/SCZ_3TRAIT	SCZ_3TRAIT	explicit_manifest	SCZ_3TRAIT	explicit_manifest	gtex_v8_specific_tissue	/home/ec2-user/project2/RESULTS/FUMA/FUMA/EUR/FUMA_PLEIO_SCZ_EA_CF/magma_exp_gtex_v8_ts_avg_log2TPM.gsa.out	Pituitary	COVAR	16907	0.096403	0.17856	0.016497	2.6074e-09	Pituitary	COVAR	True	2.6074e-09	54	0.000925925925925926	1.17333e-08	True	True	12.0	0.096403	True	True	True
