# TOTAL_GENES = 18823
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
AMIT_EGF_RESPONSE_40_MCF10A              SET      17    0.0085233   0.00025604      0.24769      0.48627 AMIT_EGF_RESPONSE_40_MCF10A
AMIT_EGF_RESPONSE_480_HELA               SET     161      0.12033     0.011081     0.083178     0.074011 AMIT_EGF_RESPONSE_480_HELA
AMIT_EGF_RESPONSE_480_MCF10A             SET      43     0.024192     0.001155      0.14186       0.4323 AMIT_EGF_RESPONSE_480_MCF10A
AMIT_EGF_RESPONSE_60_HELA                SET      44    -0.019003  -0.00091773      0.16519      0.54579 AMIT_EGF_RESPONSE_60_HELA
AMIT_EGF_RESPONSE_60_MCF10A              SET      37    -0.084936   -0.0037621      0.18608      0.67596 AMIT_EGF_RESPONSE_60_MCF10A
AMIT_SERUM_RESPONSE_120_MCF1...          SET      63     -0.11492   -0.0066373      0.13492      0.80281 AMIT_SERUM_RESPONSE_120_MCF10A
AMIT_SERUM_RESPONSE_20_MCF10A            SET      16    -0.094916   -0.0027662      0.29467      0.62631 AMIT_SERUM_RESPONSE_20_MCF10A
AMIT_SERUM_RESPONSE_240_MCF1...          SET      55    -0.095185   -0.0051378      0.15595      0.72918 AMIT_SERUM_RESPONSE_240_MCF10A
AMIT_SERUM_RESPONSE_40_MCF10A            SET      30      -0.2998     -0.01196       0.1913      0.94145 AMIT_SERUM_RESPONSE_40_MCF10A
AMIT_SERUM_RESPONSE_480_MCF1...          SET      34     0.063089     0.002679      0.16617       0.3521 AMIT_SERUM_RESPONSE_480_MCF10A
AMIT_SERUM_RESPONSE_60_MCF10A            SET      56      0.19589     0.010669      0.15065     0.096754 AMIT_SERUM_RESPONSE_60_MCF10A
AMUNDSON_DNA_DAMAGE_RESPONSE...          SET      16     -0.43297    -0.012618      0.29816      0.92676 AMUNDSON_DNA_DAMAGE_RESPONSE_TP53
AMUNDSON_RESPONSE_TO_ARSENITE            SET     204     0.064107    0.0066377     0.071967      0.18653 AMUNDSON_RESPONSE_TO_ARSENITE
ANASTASSIOU_MULTICANCER_INVA...          SET      62    -0.075845   -0.0043458      0.14699      0.69707 ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE
ANDERSEN_CHOLANGIOCARCINOMA_...1         SET      61     -0.13327   -0.0075744      0.13635      0.83581 ANDERSEN_CHOLANGIOCARCINOMA_CLASS1
ANDERSEN_CHOLANGIOCARCINOMA_...2         SET     172    -0.089316    -0.008499     0.079581      0.86913 ANDERSEN_CHOLANGIOCARCINOMA_CLASS2
ANDERSEN_LIVER_CANCER_KRT19_...1         SET      72     0.055468    0.0034241      0.11341      0.31239 ANDERSEN_LIVER_CANCER_KRT19_DN
ANDERSEN_LIVER_CANCER_KRT19_...2         SET      33    -0.047811   -0.0020002      0.15795      0.61894 ANDERSEN_LIVER_CANCER_KRT19_UP
APPEL_IMATINIB_RESPONSE                  SET      32     -0.12291   -0.0050635      0.18309      0.74898 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      49       0.2239     0.011409      0.14559     0.062049 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38   -0.0021333  -9.5756e-05      0.17236      0.50494 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      44    -0.088858   -0.0042912      0.15614      0.71535 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      40    -0.088658   -0.0040828      0.15998      0.71027 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53     -0.24503    -0.012984      0.14909      0.94985 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     150      0.20092     0.017865     0.086357    0.0099991 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45      0.31887     0.015573      0.15971     0.022941 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9      0.20423    0.0044648      0.32178      0.26282 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48    0.0090884   0.00045838      0.14971       0.4758 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      18     -0.20611   -0.0063709      0.26519      0.78148 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     115   0.00061418   4.7861e-05      0.10214       0.4976 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23     0.030786    0.0010755      0.24258      0.44951 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46      0.13962    0.0068939      0.15399      0.18229 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.10609    0.0037061      0.22794      0.32082 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     411     0.017328    0.0025324     0.055045      0.37646 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      82      -0.2476    -0.016307      0.12282      0.97809 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29     0.087736    0.0034412      0.20308      0.33286 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64    -0.030394   -0.0017693      0.13472      0.58924 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.10507    0.0013264      0.65253      0.43604 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.31352   -0.0072246      0.36561      0.80442 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7      0.57547     0.011096      0.46757      0.10921 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14    -0.035794  -0.00097586      0.29655      0.54804 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     163     0.074349    0.0068888      0.08068       0.1784 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51     0.072238    0.0037552      0.14506      0.30925 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      37     0.094227    0.0041736      0.18558      0.30582 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      0.10876    0.0028574      0.29922      0.35812 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32     -0.11081   -0.0045652      0.18282      0.72778 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.67138     0.013838      0.31468     0.016447 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     150   -0.0074182  -0.00065959     0.080836      0.53656 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18      0.11212    0.0034655      0.23158      0.31414 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9      0.68385      0.01495      0.41814     0.050985 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12      0.32949     0.008317      0.26989      0.11108 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      30     0.071022    0.0028332      0.18097      0.34736 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18     0.042265    0.0013064      0.22841       0.4266 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.23156    -0.006313      0.26287      0.81081 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18    -0.066647     -0.00206      0.25769      0.60204 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54    -0.072268   -0.0038653      0.14636      0.68926 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23     0.092885     0.003245      0.20512      0.32534 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28      0.17164    0.0066152      0.20098      0.19655 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     -0.30937    -0.012545      0.19189      0.94654 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.34721    0.0080011      0.29777       0.1218 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     -0.52183    -0.014726        0.249      0.98194 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.29352   -0.0082828      0.28937      0.84479 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.15536   -0.0070647      0.16378      0.82858 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     363     0.045631    0.0062756     0.056239      0.20858 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     273        0.032    0.0038258     0.060952      0.29979 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137     0.038516     0.003274     0.088948      0.33251 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      69     -0.10613   -0.0064138      0.13256      0.78832 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98    0.0016241   0.00011689      0.10929      0.49407 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      0.12379    0.0020174       0.5403      0.40939 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      77     0.096232    0.0061424      0.12506      0.22081 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     -0.14997   -0.0036245      0.34973      0.66597 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31     -0.21278   -0.0086283      0.18285      0.87772 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     -0.24113    -0.012412      0.14706      0.94945 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52     -0.16466   -0.0086429      0.14676      0.86906 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7       0.3337    0.0064341      0.46914      0.23845 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45     -0.11681   -0.0057049      0.17223      0.75118 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54     -0.11083    -0.005928      0.17307      0.73903 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64     -0.16383   -0.0095372      0.13236      0.89209 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37      0.31721     0.014051      0.17166     0.032318 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      0.18794    0.0093799       0.1525      0.10891 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      27     0.017671   0.00066881      0.20999      0.46647 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     618     0.063757     0.011362     0.040779     0.058978 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     941     0.068972     0.015031     0.038695     0.037346 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     351     0.029621    0.0040071     0.054762      0.29429 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36     0.081407    0.0035568      0.15918      0.30453 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8       0.1372    0.0028279      0.36273      0.35263 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.052316    0.0037267      0.11139       0.3193 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1027       0.1151     0.026142     0.037274    0.0010093 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     726      0.10676     0.020559     0.037124    0.0020174 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     208   -0.0088729  -0.00092758     0.069799      0.55058 BENPORATH_MYC_TARGETS_WITH_EBOX
